Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
A-Bomb,good,Male,yellow,Human,No Hair,Marvel Comics,-,203,441
Abe Sapien,good,Male,blue,Icthyo Sapien,No Hair,Dark Horse Comics,blue,191,65
Abin Sur,good,Male,blue,Ungaran,No Hair,DC Comics,red,185,90
Abomination,bad,Male,green,Human / Radiation,No Hair,Marvel Comics,-,203,441
Absorbing Man,bad,Male,blue,Human,No Hair,Marvel Comics,-,193,122
Adam Strange,good,Male,blue,Human,Blond,DC Comics,-,185,88
Agent 13,good,Female,blue,-,Blond,Marvel Comics,-,173,61
Agent Bob,good,Male,brown,Human,Brown,Marvel Comics,-,178,81
Air-Walker,bad,Male,blue,-,White,Marvel Comics,-,188,108
Ajax,bad,Male,brown,Cyborg,Black,Marvel Comics,-,193,90
Alan Scott,good,Male,blue,-,Blond,DC Comics,-,180,90
Alfred Pennyworth,good,Male,blue,Human,Black,DC Comics,-,178,72
Alien,bad,Male,-,Xenomorph XX121,No Hair,Dark Horse Comics,black,244,169
Amazo,bad,Male,red,Android,-,DC Comics,-,257,173
Ammo,bad,Male,brown,Human,Black,Marvel Comics,-,188,101
Angel,good,Male,blue,-,Blond,Marvel Comics,-,183,68
Angel Dust,good,Female,yellow,Mutant,Black,Marvel Comics,-,165,57
Angel Salvadore,good,Female,brown,-,Black,Marvel Comics,-,163,54
Animal Man,good,Male,blue,Human,Blond,DC Comics,-,183,83
Annihilus,bad,Male,green,-,No Hair,Marvel Comics,-,180,90
Ant-Man,good,Male,blue,Human,Blond,Marvel Comics,-,211,122
Ant-Man II,good,Male,blue,Human,Blond,Marvel Comics,-,183,86
Anti-Monitor,bad,Male,yellow,God / Eternal,No Hair,DC Comics,-,61,-99
Anti-Venom,-,Male,blue,Symbiote,Blond,Marvel Comics,-,229,358
Apocalypse,bad,Male,red,Mutant,Black,Marvel Comics,grey,213,135
Aqualad,good,Male,blue,Atlantean,Black,DC Comics,-,178,106
Aquaman,good,Male,blue,Atlantean,Blond,DC Comics,-,185,146
Arachne,good,Female,blue,Human,Blond,Marvel Comics,-,175,63
Archangel,good,Male,blue,Mutant,Blond,Marvel Comics,blue,183,68
Arclight,bad,Female,violet,-,Purple,Marvel Comics,-,173,57
Ardina,good,Female,white,Alien,Orange,Marvel Comics,gold,193,98
Ares,good,Male,brown,-,Brown,Marvel Comics,-,185,270
Ariel,good,Female,purple,-,Pink,Marvel Comics,-,165,59
Armor,good,Female,black,-,Black,Marvel Comics,-,163,50
Atlas,good,Male,brown,Mutant,Red,Marvel Comics,-,183,101
Atlas,bad,Male,blue,God / Eternal,Brown,DC Comics,-,198,126
Atom,good,Male,blue,-,Red,DC Comics,-,178,68
Atom Girl,good,Female,black,-,Black,DC Comics,-,168,54
Atom II,good,Male,brown,Human,Auburn,DC Comics,-,183,81
