Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
Starfire,good,Female,green,Tamaranean,Auburn,DC Comics,orange,193.0,71.0
Angel Dust,good,Female,yellow,Mutant,Black,Marvel Comics,-,165.0,57.0
Doomsday,bad,Male,red,Alien,White,DC Comics,-,244.0,412.0
Wiz Kid,good,-,brown,-,Black,Marvel Comics,-,140.0,39.0
Atom III,good,Male,-,-,Red,DC Comics,-,-99.0,-99.0
Captain America,good,Male,blue,Human,blond,Marvel Comics,-,188.0,108.0
Hit-Girl,good,Female,-,Human,-,Icon Comics,-,-99.0,-99.0
Box III,good,-,blue,-,Blond,Marvel Comics,-,193.0,110.0
Beak,good,Male,black,-,White,Marvel Comics,-,175.0,63.0
Rhino,bad,Male,brown,Human / Radiation,Brown,Marvel Comics,-,196.0,320.0
Speedy,good,Male,-,Human,-,DC Comics,-,-99.0,-99.0
Thunderstrike,good,Male,blue,-,Blond,Marvel Comics,-,198.0,288.0
Wonder Girl,good,Female,blue,Demi-God,Blond,DC Comics,-,165.0,51.0
Liz Sherman,good,Female,-,-,-,Dark Horse Comics,-,-99.0,-99.0
Juggernaut,neutral,Male,blue,Human,Red,Marvel Comics,-,287.0,855.0
Monarch,good,Male,blue,-,White,DC Comics,-,193.0,90.0
Batgirl V,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
Ray,good,Male,green,Human,Red,DC Comics,-,178.0,70.0
Punisher,good,Male,blue,Human,Black,Marvel Comics,-,183.0,90.0
Ben 10,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
Batgirl VI,good,Female,blue,-,Blond,DC Comics,-,168.0,61.0
Booster Gold,good,Male,blue,Human,Blond,DC Comics,-,196.0,97.0
Ink,good,Male,blue,Mutant,No Hair,Marvel Comics,-,180.0,81.0
Kathryn Janeway,good,Female,-,Human,-,Star Trek,-,-99.0,-99.0
Agent 13,good,Female,blue,-,Blond,Marvel Comics,-,173.0,61.0
Violet Parr,good,Female,violet,Human,Black,Dark Horse Comics,-,137.0,41.0
Storm,good,Female,blue,Mutant,White,Marvel Comics,-,180.0,57.0
Johann Krauss,good,Male,-,-,-,Dark Horse Comics,-,-99.0,-99.0
Leonardo,good,Male,blue,Mutant,No Hair,IDW Publishing,green,-99.0,-99.0
Cameron Hicks,good,Male,-,Alpha,-,SyFy,-,-99.0,-99.0
Red Skull,bad,Male,blue,-,No Hair,Marvel Comics,-,188.0,108.0
One Punch Man,good,Male,-,Human,No Hair,Shueisha,-,175.0,69.0
Frigga,good,Female,blue,-,White,Marvel Comics,-,180.0,167.0
Naruto Uzumaki,good,Male,-,Human,-,Shueisha,-,168.0,54.0
Pyro,bad,Male,blue,-,Blond,Marvel Comics,-,178.0,68.0
Goblin Queen,bad,Female,green,-,Red,Marvel Comics,-,168.0,50.0
Amazo,bad,Male,red,Android,-,DC Comics,-,257.0,173.0
Thing,good,Male,blue,Human / Radiation,No Hair,Marvel Comics,-,183.0,225.0
General Zod,bad,Male,black,Kryptonian,Black,DC Comics,-,-99.0,-99.0
Sandman,neutral,Male,brown,Human,Brown,Marvel Comics,-,185.0,203.0
Rogue,good,Female,green,-,Brown / White,Marvel Comics,-,173.0,54.0
Marvel Girl,good,Female,green,-,Red,Marvel Comics,-,170.0,56.0
Phantom Girl,good,Female,blue,-,Black,DC Comics,-,168.0,54.0
Supergirl,good,Female,blue,Kryptonian,Blond,DC Comics,-,165.0,54.0
Black Mamba,bad,Female,green,-,Black,Marvel Comics,-,170.0,52.0
